year,age,percent_rough
1932,6,0
1932,7,1.05
1932,8,3.03
1932,9,6.43
1932,10,16.84
1932,11,17.78
1932,12,11.07
1932,13,21.21
1932,14,15.93
1932,15,4.96
1932,16,1.49
1932,17,0
1932,18,0
1932,19,0
1933,6,0.3768
1933,7,2.3877
1933,8,6.3091
1933,9,6.98
1933,10,12.2062
1933,11,23.6799
1933,12,17.445
1933,13,7.1801
1933,14,11.492
1933,15,9.8137
1933,16,2.802
1933,17,0.3558
1933,18,0
1933,19,0.3768
1934,6,1.3385
1934,7,7.081
1934,8,14.7822
1934,9,11.6733
1934,10,11.8235
1934,11,8.4542
1934,12,15.111
1934,13,6.6672
1934,14,5.1177
1934,15,7.74
1934,16,2.6783
1934,17,1.3935
1934,18,0.628
1934,19,0
1935,6,1.6278
1935,7,12.3204
1935,8,22.6283
1935,9,25.119
1935,10,13.0211
1935,11,6.1397
1935,12,5.1153
1935,13,4.3513
1935,14,2.1581
1935,15,2.042
1935,16,1.7988
1935,17,2.8544
1935,18,0
1935,19,0.162
1936,6,0.1668
1936,7,7.4657
1936,8,29.2317
1936,9,30.2815
1936,10,17.2826
1936,11,4.0234
1936,12,1.3036
1936,13,2.1003
1936,14,1.3451
1936,15,0.8282
1936,16,0.5982
1936,17,0.6065
1936,18,1.6651
1936,19,0
1937,6,0
1937,7,3.4006
1937,8,26.6046
1937,9,33.1267
1937,10,15.6926
1937,11,7.8969
1937,12,2.7035
1937,13,0.9009
1937,14,0.6605
1937,15,0.9337
1937,16,0.5587
1937,17,0.5802
1937,18,0.7216
1937,19,1.1381
1938,6,0.2054
1938,7,1.7892
1938,8,20.5594
1938,9,36.9774
1938,10,24.3632
1938,11,8.4958
1938,12,1.7401
1938,13,0.7201
1938,14,0.8615
1938,15,0.1077
1938,16,0.2521
1938,17,0
1938,18,0.1532
1938,19,0.3034
1939,6,0.1051
1939,7,0.8974
1939,8,6.1294
1939,9,35.7083
1939,10,34.2845
1939,11,11.7774
1939,12,3.4595
1939,13,1.5281
1939,14,1.1532
1939,15,0
1939,16,0.2761
1939,17,0.2682
1939,18,0.4037
1939,19,0.459
1940,6,0
1940,7,1.041
1940,8,7.6963
1940,9,19.9541
1940,10,44.8447
1940,11,17.5191
1940,12,5.294
1940,13,1.5444
1940,14,0.9091
1940,15,0.1422
1940,16,0.4226
1940,17,0.4441
1940,18,0.5664
1940,19,0.5952
1941,6,0.3697
1941,7,3.5012
1941,8,13.2868
1941,9,15.1266
1941,10,22.3026
1941,11,30.5231
1941,12,10.7485
1941,13,2.1775
1941,14,1.1487
1941,15,0
1941,16,0.2539
1941,17,0.41
1941,18,0.3102
1941,19,0.4516
1942,6,0.4624
1942,7,2.0461
1942,8,13.3838
1942,9,26.0308
1942,10,15.8976
1942,11,13.1777
1942,12,16.1935
1942,13,5.7881
1942,14,1.9069
1942,15,1.3989
1942,16,0
1942,17,0.1414
1942,18,0.2858
1942,19,0.3088
1943,6,0.3252
1943,7,4.0987
1943,8,10.2333
1943,9,25.3582
1943,10,27.5973
1943,11,10.6898
1943,12,6.6725
1943,13,9.1589
1943,14,3.3144
1943,15,0.7322
1943,16,0.3528
1943,17,0
1943,18,0.4384
1943,19,0.1761
1944,6,0
1944,7,3.1519
1944,8,9.1592
1944,9,15.9417
1944,10,30.2855
1944,11,24.4324
1944,12,7.9213
1944,13,3.5164
1944,14,3.4049
1944,15,1.4764
1944,16,0.3159
1944,17,0.1984
1944,18,0.6354
1944,19,0.2561
1945,6,0
1945,7,0.8099
1945,8,23.4785
1945,9,17.9004
1945,10,15.4439
1945,11,19.7558
1945,12,12.0961
1945,13,5.3448
1945,14,1.1959
1945,15,1.4836
1945,16,0.1871
1945,17,0.4572
1945,18,0.6222
1945,19,0.395
1946,6,0
1946,7,0.0259
1946,8,4.3451
1946,9,49.677
1946,10,16.7488
1946,11,9.7371
1946,12,10.4037
1946,13,7.0373
1946,14,2.7597
1946,15,0.1744
1946,16,0.3026
1946,17,0.5905
1946,18,0.7494
1946,19,1.0372
1947,6,0
1947,7,1.3278
1947,8,3.308
1947,9,12.0478
1947,10,50.3464
1947,11,13.7759
1947,12,7.2821
1947,13,6.7756
1947,14,4.3205
1947,15,2.1273
1947,16,0.1842
1947,17,0.4793
1947,18,0.7744
1947,19,0.6775
1948,6,0
1948,7,1.4566
1948,8,3.0477
1948,9,6.574
1948,10,15.9721
1948,11,46.9816
1948,12,8.5797
1948,13,4.5609
1948,14,5.8828
1948,15,3.811
1948,16,1.631
1948,17,0.5905
1948,18,0.6237
1948,19,0.7886
1949,6,0
1949,7,5.4762
