"Year","age50","pop"
1958,6.58331101557705,"can"
1959,6.58331101557705,"can"
1960,6.58331101557705,"can"
1961,6.58442580969866,"can"
1962,6.59423904500551,"can"
1963,6.71162373629116,"can"
1964,6.65626922929046,"can"
1965,6.41239008066165,"can"
1966,6.24742160411862,"can"
1967,6.16669791833905,"can"
1968,6.13487600751721,"can"
1969,6.11790641719575,"can"
1970,6.16475873532397,"can"
1971,6.29670760480397,"can"
1972,6.28490660697518,"can"
1973,6.23085892428581,"can"
1974,5.85632682544488,"can"
1975,5.56735421813112,"can"
1976,5.62190245773409,"can"
1977,5.96907343172113,"can"
1978,6.22788570922116,"can"
1979,6.03191986950262,"can"
1980,5.99097517538821,"can"
1981,6.02695461749214,"can"
1982,6.12757848750592,"can"
1983,6.17758668259824,"can"
1984,5.97303652373138,"can"
1985,5.87394338297849,"can"
1986,6.13045768516911,"can"
1987,6.28048951585223,"can"
1988,6.14481822947844,"can"
1989,5.90823710328339,"can"
1990,5.89368583667566,"can"
1991,5.99402835015486,"can"
1992,5.8300371867858,"can"
1993,5.4168587644364,"can"
1994,4.99598859326732,"can"
1995,5.03340843448693,"can"
1996,5.31919477888787,"can"
1997,5.59012054742412,"can"
1998,5.40976494520064,"can"
1999,5.10779130535186,"can"
2000,5.22902355189083,"can"
2001,5.55516874355895,"can"
2002,5.61295965916304,"can"
2003,5.2987262576109,"can"
2004,5.07181667925928,"can"
2005,5.20115331878729,"can"
2006,5.34479333620857,"can"
2007,5.08168962296876,"can"
2008,5.00096178177432,"can"
2009,5.19004814688076,"can"
2010,5.39176940405782,"can"
2011,5.39284815632587,"can"
2012,5.28467949338097,"can"
2013,5.10963092710722,"can"
2014,5.0888161057991,"can"
2015,5.34371174703408,"can"
2016,5.42673255935586,"can"
2017,5.32663984428436,"can"
2018,5.28770941805953,"can"
1946,8.24560533742302,"lof"
1947,8.08251540997061,"lof"
1948,7.93246972592891,"lof"
1949,7.73248964303925,"lof"
1950,7.5617622006901,"lof"
1951,7.61404619743801,"lof"
1952,7.41116181200753,"lof"
1953,7.4108031123573,"lof"
1954,7.41072550122725,"lof"
1955,7.75134080192115,"lof"
1956,8.19287233405535,"lof"
1957,8.58454269744382,"lof"
1958,8.61565128209555,"lof"
1959,7.12054360751833,"lof"
1960,7.36216909945655,"lof"
1961,6.51962024314095,"lof"
1962,6.707092234049,"lof"
1963,6.9439563012657,"lof"
1964,6.47983178855112,"lof"
1965,6.97999832523269,"lof"
1966,7.2201273092048,"lof"
1967,7.45049910603186,"lof"
1968,7.35068402743977,"lof"
1969,7.7407771809434,"lof"
1970,6.98999005493813,"lof"
1971,6.90973055802608,"lof"
1972,6.60969871300611,"lof"
1973,6.12974702169905,"lof"
1974,6.83008279468,"lof"
1975,7.09013839250319,"lof"
1976,7.02006280430102,"lof"
1977,6.19498376024482,"lof"
1978,6.92913618067662,"lof"
1979,6.77802668995025,"lof"
1980,6.729252190185,"lof"
1981,5.89982144926404,"lof"
1982,4.61550221712016,"lof"
1983,4.42664885468469,"lof"
1984,4.50674539083832,"lof"
1985,4.77481321578953,"lof"
1986,5.40959573421433,"lof"
1987,6.30657468179807,"lof"
1988,4.94787828570905,"lof"
1989,5.0636818719144,"lof"
1990,5.09885169187636,"lof"
1991,4.55930511835819,"lof"
1992,4.2025072444083,"lof"
1993,4.41460871933088,"lof"
1994,4.62966132462788,"lof"
1995,4.71752608686196,"lof"
1996,4.79664113651718,"lof"
1997,4.96483774689638,"lof"
1998,5.09464827997511,"lof"
1999,4.9388264722852,"lof"
2000,4.72932570537376,"lof"
2001,4.67319794500224,"lof"
2002,4.53560215179408,"lof"
2003,4.56583140694818,"lof"
2004,4.40239747892,"lof"
2005,4.46368792827185,"lof"
2006,4.56008975698917,"lof"
2007,4.50510626221802,"lof"
2008,4.82776489346226,"lof"
2009,4.4832516353448,"lof"
2010,4.85743977317145,"lof"
2011,4.77502561649636,"lof"
2012,5.04082937794434,"lof"
2013,5.21835529747176,"lof"
2014,5.11558581707525,"lof"
2015,5.58068523672983,"lof"
2016,5.85772923295277,"lof"
2017,5.14567328035216,"lof"
2018,5.22158521386823,"lof"
2019,4.81461222493155,"lof"
2020,5.37426610102062,"lof"
